Log created: 2025-10-21 10:39:37
Type: backup
[2025-10-21 10:39:39][notice]Start backing up.
[2025-10-21 10:39:39][notice]server info fcgi:On max execution time: 180 wp version:6.8.3 php version:8.2.27 db version:8.0.43 php ini:safe_mode: memory_limit:512M memory_get_usage:16.00 MB memory_get_peak_usage:16.75 MB extensions:PDO enabled curl enabled zlib enabled   is_multisite:0
[2025-10-21 10:39:39][notice]Prepare to backup backup_db files.
[2025-10-21 10:39:39][notice]Start exporting database.
[2025-10-21 10:39:39][notice]Preparing to dump table wp_wfls_role_counts
[2025-10-21 10:39:39][notice]Preparing to dump table wp_moppm_user_report_table
[2025-10-21 10:39:39][notice]Preparing to dump table wp_wc_admin_notes
[2025-10-21 10:39:39][notice]Preparing to dump table wp_wc_category_lookup
[2025-10-21 10:39:40][notice]Preparing to dump table wp_wc_reserved_stock
[2025-10-21 10:39:40][notice]Preparing to dump table wp_wfauditevents
[2025-10-21 10:39:40][notice]Preparing to dump table wp_wfblockediplog
[2025-10-21 10:39:40][notice]Preparing to dump table wp_wfconfig
[2025-10-21 10:39:43][notice]Preparing to dump table wp_wfcrawlers
[2025-10-21 10:39:44][notice]Preparing to dump table wp_wffilechanges
[2025-10-21 10:39:44][notice]Preparing to dump table wp_wflocs
[2025-10-21 10:39:45][notice]Preparing to dump table wp_wfls_settings
[2025-10-21 10:39:45][notice]Preparing to dump table wp_wfnotifications
[2025-10-21 10:39:46][notice]Preparing to dump table wp_wfreversecache
[2025-10-21 10:39:47][notice]Preparing to dump table wp_wfsecurityevents
[2025-10-21 10:39:47][notice]Preparing to dump table wp_wftrafficrates
[2025-10-21 10:39:47][notice]Preparing to dump table wp_wfwaffailures
[2025-10-21 10:39:47][notice]Preparing to dump table wp_woocommerce_shipping_zone_methods
[2025-10-21 10:39:47][notice]Preparing to dump table wp_woocommerce_shipping_zones
[2025-10-21 10:39:48][notice]Preparing to dump table wp_wpmailsmtp_debug_events
[2025-10-21 10:39:48][notice]Preparing to dump table wp_wpmailsmtp_tasks_meta
[2025-10-21 10:39:48][notice]Preparing to dump table wp_actionscheduler_claims
[2025-10-21 10:39:48][notice]Preparing to dump table wp_actionscheduler_groups
[2025-10-21 10:39:48][notice]Preparing to dump table wp_links
[2025-10-21 10:39:48][notice]Preparing to dump table wp_term_relationships
[2025-10-21 10:39:49][notice]Preparing to dump table wp_wc_admin_note_actions
[2025-10-21 10:39:49][notice]Preparing to dump table wp_wc_product_attributes_lookup
[2025-10-21 10:39:49][notice]Preparing to dump table wp_wc_product_download_directories
[2025-10-21 10:39:49][notice]Preparing to dump table wp_wc_rate_limits
[2025-10-21 10:39:49][notice]Backup cancelled.
